Question,A,B,C,D,Answer
What is the sum of 7 and 9? ,14,16,18,20,14
"If (3x + 5 = 20), what is the value of (x)? ",5,6,7,8,6
What is the product of 6 and 4? ,20,24,28,32,24
Solve for (x): (2x - 3 = 9).,3,4,5,6,5 0
"If (a + b = 12) and (a - b = 4),what is the value of (a)? ",8,6,10,12,8
What is the area of a square with side length 5 units?,20 sq units,25 sq units,30 sq units,35 sq units,25 sq units
The sum of the angles in a triangle is: ,90 degrees,180 degrees,270 degrees,360 degrees,180 degrees 
"If the selling price of an item is $80 and the profit percentage is 25%, what is the cost price?",$60,$64,$70,$75,$64 
"If the original price of a shirt is $50 and it is sold at a discount of 20%, what is the selling price? ",$40,$42,$45,$48,$40
A car travels 240 km in 4 hours. What is its average speed?,40 km/h ,50 km/h ,60 km/h  ,70 km/h ,60 km/h 
"If a train covers 300 km in 5 hours, what is its speed? ",50 km/h  ,55 km/h ,60 km/h ,65 km/h,55 km/h
"Arrange the following words in alphabetical order: Apple, Banana, Cherry, Orange.  ","Apple, Banana, Cherry, Orange ","Banana, Apple, Cherry, Orange ","Apple, Banana, Orange, Cherry ","Banana, Cherry, Apple, Orange","Banana, Apple, Cherry, Orange"
"What comes next in the series: 2, 5, 10, 17, …?",24,26,28,30,26
"Find the missing number: 3, 6, 12, 24, …?",48,36,30,42,48
"Which word does not belong in the group: Apple, Banana, Orange, Mango, Carrot? ",Apple,Banana,Orange,Carrot,Carrot
"If the cost price of an item is $80 and it is sold at a loss of 20%, what is the selling price?",$64,$72,$76,$84,$64
"If the selling price of an article is $120 and the profit percentage is 25%, what is the cost price? ",$80,$90,$10,$9,$90
A machine can complete a task in 6 days. How many machines are needed to complete the same task in 2 days?,6,3,4, 5,4
A team of 10 workers can complete a project in 15 days. How many days will it take for 20 workers to complete the same project?,5,7.5,10,12,7.5
"If a machine can produce 200 widgets in 8 hours, how many widgets can it produce in 5 hours? ",100,125,150,160,125
"If the interest on a sum of $800 at 6% per annum for 2 years is $96, what is the principal amount? ",$700,$750,$750,$850,$800
"If the marked price of an item is $120 and it is sold at a discount of 20%, what is the selling price? ",$96,$100,$104,$108,$96
What is the remainder when 567 is divided by 9? ,0,1,2,3,0
Which of the following is a prime number? ,27,31,42,49,31
Which sentence has the correct subject-verb agreement?,“The team are winning the game.”,“The team is winning the game.”,“The team were winning the game.”,“The team have won the game.”,“The team is winning the game.”
Choose the correct verb form: “Neither of the students _____ their homework.”,do,does,did,done,does
Which sentence is punctuated correctly?,"“I love pizza, but I don’t like pasta.”","“I love pizza but, I don’t like pasta.”",“I love pizza but I don’t like pasta.”,"“I love pizza, but, I don’t like pasta.”","“I love pizza, but I don’t like pasta.”"
Identify the correct use of an apostrophe: ,“The dogs are barking.”,“The dog’s collar is red.”,“The dogs are chasing their tails.”,“The dog is playing fetch.”,“The dog’s collar is red.”
Which sentence is a compound sentence?,“She likes coffee.”,“He studied hard for the exam.”,"“She likes coffee, and he prefers tea.”",“They went to the beach.”,"“She likes coffee, and he prefers tea.”"
What does the word ‘benevolent’ mean,Harmful,Kind and generous,Dangerou,Uninterested,Kind and generous
Choose the correct meaning of ‘meticulous’.,Careless,Quick ,Paying great attention to detail,Confused,Paying great attention to detail
What does ‘ambivalent’ mean?,Certain,Having mixed feelings,Excited,Angry,Having mixed feelings
Define the word ‘ephemeral’,Long-lasting,Short-lived ,Complicated ,Unusual,Short-lived
What is the meaning of ‘pragmatic’?,Impractical ,Dealing with things sensibly and realistically,Unrealistic ,Philosophical,Dealing with things sensibly and realistically
Choose the correct meaning of ‘ubiquitous’.,Rare ,Everywhere at once ,Hidden,Unique,Everywhere at once
What does ‘nostalgia’ mean?,Fear of the future  ,Desire for change,Longing for the past,Confusion about time,Longing for the past
Define the word ‘enigma’.,A clear explanation ,A mysterious or puzzling person or thing ,A well-known fact,An easy problem,A mysterious or puzzling person or thing
What is the meaning of ‘superfluous’?,Necessary,Excessive,Insufficient,Basic,Excessive
Choose the correct meaning of ‘reticent’.,Talkative,Not revealing one’s thoughts or feelings readily,Confiden,Aggressive,Not revealing one’s thoughts or feelings readily
What does ‘ameliorate’ mean?,To make worse,To stay the same,To make better,To complicate,To make better
Define the word ‘lucid’.,Confuse,Clear,Complicated ,Dare ,Clear
What is the meaning of ‘audacious’?,Cowardly,Bold and daring,Ordinary,Shy  ,Bold and daring
Choose the correct meaning of ‘conundrum’.,An easy task,A straightforward decision ,A confusing and difficult problem  ,A known fact,A confusing and difficult problem
What is the sum of 7 and 9?,14,16,18,20,14
"If (3x + 5 = 20), what is the value of (x)?",5,6,7,8,6
"If the selling price of an item is $80 and the profit percentage is 25%, what is the cost price",$60,$64,$70,$75,$64
"If the original price of a shirt is $50 and it is sold at a discount of 20%, what is the selling price? ",A)$40,$42,$45,$48 ,$40
Time and Distance: 5. A car travels 240 km in 4 hours. What is its average speed?,40 km/h,50 km/h,60 km/h,70 km/,60 km/h
"If a train covers 300 km in 5 hours, what is its speed? ",50 km/h,55 km/h,60 km/h,65 km/h,55 km/h
What is the remainder when 567 is divided by 9?,0,1,2,3,0
Which of the following is a prime number?,27,31,42,49s,31
"Anurag buys an old laptop for Rs. 17500 and spends Rs. 2,500 for its repair. He is not satisfied from his laptop and sells the laptop at Rs. 22,500. Find his profit percent?",A. 20%,B. 12.5%,C. 15%,D. 14.5%,Answer: B
"A invests some amount in a business. After 6 months his friend B joined him with the triple amount that A invests in starting of business. If in the business the total profit earned by both of them is Rs.16480, then find the difference between the share of profit between A and B.",A. 4296 RS.,B. 3296 RS,C. 3290 RS.,D. 6396 RS.,E. 2396 RS.
A shopkeeper is selling a fan at a discount of 30% on the mark price. If the marked price is 20% above the cost price and the fan was sold for Rs.420 then the cost price is,A. RS.700,B. RS.500,C. RS.400,D. RS.600,Answer: B
"Amit sells a Chair at 20% profit to Rahul. Rahul sells it to Sanjay at 30% profit. If Sanjay sells it to Dev at 50% profit and difference between Cost price of chair for Dev and Amit was Rs.2680. Then, how much Rahul pays to Amit for the chair?",A. RS.2400,B. RS.3400,C. RS.3000,D. RS.2200,Answer: A
"one pipe fills a water tank three times faster than another pipe. If the two pipes together can fill the empty tank in 36 min, then how much time will the slower pipe alone take to fill the tank?",a. 2h 24min,b. 2h,c. 1h 21min,d. 1h 48min,e. None of these
"Two pipes A and B can fill the tank in 40 and 60 minutes respectively. Both the pipes are opened together, after how many minutes should the pipe B be turned off, so that the tank be fill in 30 minutes?",a. 15 min,b. 20 min,c. 25 min,d. 28 min,Answer: a
The LCM of two numbers is 30 and their HCF is 5. One of the number is 10. The other is ?,a.20 ,b.25 ,c.15 ,d.5 ,Answer: 15
The product of two numbers is 2160 and their HCF is 12. Number of such possible pairs is ?,a.1 ,b.2,c.3 ,d.4 ,Answer: 2
Find the third proportional to 9 and 12 ?,a.48 ,b.9 ,c.16 ,d.108 ,Answer: 108
If a:b=1:2 and b:c=3:4 find a:b:c ?,a.3:6:8 ,b.1:2:4 ,c.3:12:6 ,d.3:8:6 ,Answer: 3:6:8
